source,target,value,groupsource,grouptarget
Napoleon,Myriel,1,1,1
Mlle.Baptistine,Myriel,8,1,1
Mme.Magloire,Myriel,10,1,1
Mme.Magloire,Mlle.Baptistine,6,1,1
CountessdeLo,Myriel,1,1,1
Geborand,Myriel,1,1,1
Champtercier,Myriel,1,1,1
Cravatte,Myriel,1,1,1
Count,Myriel,2,1,1
OldMan,Myriel,1,1,1
Valjean,Labarre,1,2,2
Valjean,Mme.Magloire,3,2,1
Valjean,Mlle.Baptistine,3,2,1
Valjean,Myriel,5,2,1
Marguerite,Valjean,1,3,2
Mme.deR,Valjean,1,2,2
Isabeau,Valjean,1,2,2
Gervais,Valjean,1,2,2
Listolier,Tholomyes,4,3,3
Fameuil,Tholomyes,4,3,3
Fameuil,Listolier,4,3,3
Blacheville,Tholomyes,4,3,3
Blacheville,Listolier,4,3,3
Blacheville,Fameuil,4,3,3
Favourite,Tholomyes,3,3,3
Favourite,Listolier,3,3,3
Favourite,Fameuil,3,3,3
Favourite,Blacheville,4,3,3
Dahlia,Tholomyes,3,3,3
Dahlia,Listolier,3,3,3
Dahlia,Fameuil,3,3,3
Dahlia,Blacheville,3,3,3
Dahlia,Favourite,5,3,3
Zephine,Tholomyes,3,3,3
Zephine,Listolier,3,3,3
Zephine,Fameuil,3,3,3
Zephine,Blacheville,3,3,3
Zephine,Favourite,4,3,3
Zephine,Dahlia,4,3,3
Fantine,Tholomyes,3,3,3
Fantine,Listolier,3,3,3
Fantine,Fameuil,3,3,3
Fantine,Blacheville,3,3,3
Fantine,Favourite,4,3,3
Fantine,Dahlia,4,3,3
Fantine,Zephine,4,3,3
Fantine,Marguerite,2,3,3
Fantine,Valjean,9,3,2
Mme.Thenardier,Fantine,2,4,3
Mme.Thenardier,Valjean,7,4,2
Thenardier,Mme.Thenardier,13,4,4
Thenardier,Fantine,1,4,3
Thenardier,Valjean,12,4,2
Cosette,Mme.Thenardier,4,5,4
Cosette,Valjean,31,5,2
Cosette,Tholomyes,1,5,3
Cosette,Thenardier,1,5,4
Javert,Valjean,17,4,2
Javert,Fantine,5,4,3
