"company_url","company_name","officer_position_es","officer_position_en","officer_name","inc_date","dissolved_date","updated_date","company_type","mf_link"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","agent","Legal agent","JURGEN MOSSACK","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","presidente","President/Chairman","JURGEN MOSSACK","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","tesorero","Treasurer","JURGEN MOSSACK","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","secretario","Secretary","DIVA ARGELIS PATINO DE DONADO","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","director","Director","JURGEN MOSSACK","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","director","Director","DIVA ARGELIS PATINO DE DONADO","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","director","Director","IVETTE CAMPOS","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","suscriptor","Shareholder","JURGEN MOSSACK","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","suscriptor","Shareholder","DIVA ARGELIS PATINO DE DONADO","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100056","OVERSEAS FINANCIAL AND INSURANCE SERVICES","representante","Representative","EL PRESIDENTE, EN SU AUSENCIA EL TESORERO O EL SECRETARIO","1982-11-09","1990-01-05","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","agent","Legal agent","JURGEN MOSSACK","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","presidente","President/Chairman","FRANCOIS CARDIS","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","tesorero","Treasurer","JEAN FRANCKEN","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","secretario","Secretary","FRANCOIS DEMAGE","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","director","Director","FRANCOIS CARDIS","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","director","Director","FRANCOIS DEMAGE","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","director","Director","JEAN FRANCKEN","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","suscriptor","Shareholder","JURGEN MOSSACK","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","suscriptor","Shareholder","DIVA ARGELIS PATINO DE DONADO","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100057","PEPINO CORPORATION","representante","Representative","EL PRESIDENTE, EN SU AUSENCIA EL TESORERO O EL SECRETARIO","1982-11-09","1991-01-21","2016-03-17 08:19:25","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","agent","Legal agent","RAMON FONSECA MORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","presidente","President/Chairman","ALFREDO FONSECA ZAMORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","tesorero","Treasurer","RAMON FONSECA MORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","secretario","Secretary","LETICIA MONTOYA MORAN","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","director","Director","ALFREDO FONSECA ZAMORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","director","Director","LETICIA MONTOYA MORAN","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","director","Director","RAMON FONSECA MORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","suscriptor","Shareholder","ALFREDO FONSECA ZAMORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","suscriptor","Shareholder","RAMON ENRIQUE FONSECA MORA","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100098","SOCIETE THS DE COMMERCE, S.A.","representante","Representative","EL PRESIDENTE","1982-11-09","0000-00-00","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","agent","Legal agent","MOSSACK FONSECA & CO","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","presidente","President/Chairman","RAMON ENRIQUE FONSECA MORA","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","tesorero","Treasurer","ROGER FRANCIS HUNZIKER","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","secretario","Secretary","LETICIA MONTOYA MORAN","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","director","Director","RAMON ENRIQUE FONSECA MORA","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","director","Director","LETICIA MONTOYA MORAN","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","1"
"https://opencorporates.com/companies/pa/100099","WISCOL OVERSEAS, S.A.","director","Director","ROGER FRANCIS HUNZIKER","1982-11-09","1990-12-27","2016-03-17 08:19:19","SOCIEDAD ANONIMA","0"
